titre,console,note_testeur,nom_testeur,statut_testeur,year,date_test,note_lecteur,nombre_testeur,url
Beat the Beat,Wii,17,Romendil,Journaliste jeuxvideo.com,2012,05 juillet 2012 à 16:47:17,17.6,62,https://jeuxvideo.com/articles/0001/00017306-beat-the-beat-rhythm-paradise-test.htm
Strife (1996),PC,16,Zizzlamazon,Journaliste jeuxvideo.com,2012,05 juillet 2012 à 14:43:28,20,2,https://jeuxvideo.com/articles/0001/00017328-strife-test.htm
Skweek,iOS,13,Anagund,Journaliste jeuxvideo.com,2012,04 juillet 2012 à 17:52:20,,,https://jeuxvideo.com/articles/0001/00017301-skweek-test.htm
Friday the 13th,CPC,13,nuktos,Journaliste jeuxvideo.com,2012,04 juillet 2012 à 17:19:46,13.5,4,https://jeuxvideo.com/articles/0001/00017327-friday-the-13th-test.htm
Battlefield 3,PC,16,hiro,Journaliste jeuxvideo.com,2012,04 juillet 2012 à 17:15:04,15.4,158,https://jeuxvideo.com/articles/0001/00017303-battlefield-3-close-quarters-test.htm
Battlefield 3,PS3,16,hiro,Journaliste jeuxvideo.com,2012,04 juillet 2012 à 17:14:21,16.9,157,https://jeuxvideo.com/articles/0001/00017302-battlefield-3-close-quarters-test.htm
The Walking Dead,Mac,17,Dinowan,Journaliste jeuxvideo.com,2012,04 juillet 2012 à 16:39:14,15.3,3,https://jeuxvideo.com/articles/0001/00017300-the-walking-dead-episode-2-starved-for-help-test.htm
The Walking Dead,360,17,Dinowan,Journaliste jeuxvideo.com,2012,04 juillet 2012 à 16:39:14,17.1,57,https://jeuxvideo.com/articles/0001/00017299-the-walking-dead-episode-2-starved-for-help-test.htm
Battlefield 3,360,16,hiro,Journaliste jeuxvideo.com,2012,04 juillet 2012 à 16:04:32,16.3,92,https://jeuxvideo.com/articles/0001/00017298-battlefield-3-close-quarters-test.htm
The Walking Dead,PC,17,Dinowan,Journaliste jeuxvideo.com,2012,04 juillet 2012 à 15:53:35,17.2,119,https://jeuxvideo.com/articles/0001/00017297-the-walking-dead-episode-2-starved-for-help-test.htm
Jonah Lomu Rugby Challenge,Vita,14,Rivaol,Journaliste jeuxvideo.com,2012,04 juillet 2012 à 15:33:39,14.9,7,https://jeuxvideo.com/articles/0001/00017295-jonah-lomu-rugby-challenge-test.htm
StudioQuiz,Web,17,cancan2006,Journaliste jeuxvideo.com,2012,04 juillet 2012 à 14:56:48,15.7,31,https://jeuxvideo.com/articles/0001/00017325-studioquiz-test.htm
Curve Fever,PC,15,DeKaiser,Journaliste jeuxvideo.com,2012,04 juillet 2012 à 14:12:19,,,https://jeuxvideo.com/articles/0001/00017322-curve-fever-test.htm
Le Tour de France 2012,360,10,Lespol,Journaliste jeuxvideo.com,2012,04 juillet 2012 à 13:57:41,13.3,37,https://jeuxvideo.com/articles/0001/00017293-tour-de-france-2012-test.htm
Hoodwink,PC,10,Lena,Journaliste jeuxvideo.com,2012,04 juillet 2012 à 11:11:03,10,1,https://jeuxvideo.com/articles/0001/00017292-hoodwink-test.htm
Ghost Recon,PC,13,Dinowan,Journaliste jeuxvideo.com,2012,03 juillet 2012 à 16:39:51,12.6,149,https://jeuxvideo.com/articles/0001/00017289-ghost-recon-future-soldier-test.htm
Le Tour de France 2012,PS3,10,Lespol,Journaliste jeuxvideo.com,2012,03 juillet 2012 à 16:39:10,14.5,55,https://jeuxvideo.com/articles/0001/00017288-tour-de-france-2012-test.htm
