titre,console,note_testeur,nom_testeur,statut_testeur,year,date_test,note_lecteur,nombre_testeur,url
Destiny 2,,16,scie-le-vin,Administrateur jeuxvideo.com,2020,21 décembre 2020 à 18:21:00,7.3,18,https://jeuxvideo.com/test/1319982/destiny-2-au-dela-de-la-lumiere-une-extension-convenue-aux-decors-inoubliables.htm
Cobra Kai,,12,dimipro96,Utilisateur jeuxvideo.com,2020,18 décembre 2020 à 20:00:00,,,https://jeuxvideo.com/test/1312916/cobra-kai-merci-ou-no-mercy.htm
Destiny 2,,13,scie-le-vin,Administrateur jeuxvideo.com,2020,18 décembre 2020 à 07:00:00,0,2,https://jeuxvideo.com/test/1342854/destiny-2-la-saison-de-la-traque-repetitif-mais-riche-en-lore.htm
Destiny 2,,16,scie-le-vin,Administrateur jeuxvideo.com,2020,17 décembre 2020 à 07:00:00,12,1,https://jeuxvideo.com/test/1342449/destiny-2-au-dela-de-la-lumiere-des-versions-ps5-et-xbox-series-impressionnantes.htm
League of Legends,,18,Aubin_Gregoire,Journaliste jeuxvideo.com,2020,14 décembre 2020 à 17:08:14,16.6,7,https://jeuxvideo.com/test/1340722/league-of-legends-wild-rift-la-faille-dans-la-poche.htm
Shady Part of Me,PC,14,Silent_Jay,Journaliste jeuxvideo.com,2020,12 décembre 2020 à 20:00:30,18,4,https://jeuxvideo.com/test/1337382/shady-part-of-me-une-fable-emouvante-et-enigmatique.htm
Whispers of a Machine,,15,johnson007,Utilisateur jeuxvideo.com,2020,12 décembre 2020 à 19:00:00,16,2,https://jeuxvideo.com/test/1335981/whispers-of-a-machine-le-point-click-a-l-ancienne.htm
WRC 9,,15,Izokay,Rédaction jeuxvideo.com,2020,12 décembre 2020 à 13:53:36,10,3,https://jeuxvideo.com/test/1339887/wrc-9-une-version-next-gen-sous-le-signe-de-la-dualsense.htm
Cyberpunk 2077,,11,[87],Journaliste jeuxvideo.com,2020,11 décembre 2020 à 18:55:05,6.4,485,https://jeuxvideo.com/test/1339983/cyberpunk-2077-des-versions-ps4-pro-et-xbox-one-x-passables.htm
Medal of Honor,PC,15,Jiikaa,Journaliste jeuxvideo.com,2020,11 décembre 2020 à 09:15:00,15.7,3,https://jeuxvideo.com/test/1337890/medal-of-honor-above-beyond-retour-aux-sources-mais-en-realite-virtuelle.htm
Cyberpunk 2077 réalisé en 2020,,07,[87],Journaliste jeuxvideo.com,2020,10 décembre 2020 à 19:53:55,6.4,485,https://jeuxvideo.com/test/1338246/cyberpunk-2077-des-versions-ps4-et-xbox-one-fat-a-eviter-a-tout-prix.htm
Doom Eternal,Switch,16,Aubin_Gregoire,Journaliste jeuxvideo.com,2020,10 décembre 2020 à 16:06:06,15,2,https://jeuxvideo.com/test/1338249/doom-eternal-une-version-switch-qui-fait-le-job.htm
Puyo Puyo Tetris 2,,17,Aubin_Gregoire,Journaliste jeuxvideo.com,2020,09 décembre 2020 à 18:27:44,18,1,https://jeuxvideo.com/test/1337808/puyo-puyo-tetris-2-le-puzzle-game-competitif-ultime.htm
Worms Rumble,,14,Ayden_,Journaliste jeuxvideo.com,2020,08 décembre 2020 à 14:06:26,12.5,6,https://jeuxvideo.com/test/1336265/worms-rumble-un-battle-royale-qui-depote-mais-au-contenu-un-peu-faible.htm
Call of the Sea,,13,Indee,Journaliste jeuxvideo.com,2020,08 décembre 2020 à 09:42:52,15.5,36,https://jeuxvideo.com/test/1335341/call-of-the-sea-un-air-de-firewatch-avec-des-enigmes-l-etincelle-en-moins.htm
Cyberpunk 2077,PC,17,[87],Journaliste jeuxvideo.com,2020,07 décembre 2020 à 18:00:45,13.2,671,https://jeuxvideo.com/test/1336241/cyberpunk-2077-la-nouvelle-pierre-angulaire-du-rpg-que-l-on-attendait.htm
FIFA 21,,14,Izokay,Rédaction jeuxvideo.com,2020,06 décembre 2020 à 11:34:54,3.4,11,https://jeuxvideo.com/test/1335653/fifa-21-simple-lifting-sur-next-gen.htm
Dragon Quest 11 S,,16,Ayden_,Journaliste jeuxvideo.com,2020,04 décembre 2020 à 16:22:34,16.6,54,https://jeuxvideo.com/test/1335031/dragon-quest-xi-s-edition-ultime-une-version-riche-en-contenus.htm
Fire Emblem,surugi Switch,15,Aubin_Gregoire,Journaliste jeuxvideo.com,2020,04 décembre 2020 à 09:32:57,13.7,3,https://jeuxvideo.com/test/1334706/fire-emblem-shadow-dragon-the-blade-of-light-le-premier-fe-de-retour-sur-switch.htm
Haven,,15,K-miye,Journaliste jeuxvideo.com,2020,03 décembre 2020 à 15:00:02,13.5,4,https://jeuxvideo.com/test/1330032/haven-une-exploration-tout-en-douceur.htm
The Pathless,,15,JeromeJoffard,Rédaction jeuxvideo.com,2020,03 décembre 2020 à 14:37:16,20,1,https://jeuxvideo.com/test/1333665/the-pathless-une-aventure-aussi-merveilleuse-que-repetitive.htm
World of Warcraft,,16,la_redaction,Utilisateur jeuxvideo.com,2020,03 décembre 2020 à 13:43:55,12.4,45,https://jeuxvideo.com/test/1332764/test-de-world-of-warcraft-shadowlands.htm
Fitness Boxing 2,Switch,15,midnailah,Rédaction jeuxvideo.com,2020,02 décembre 2020 à 16:00:01,,,https://jeuxvideo.com/test/1326617/fitness-boxing-2-rhythm-and-exercise-sueur-et-douleur-au-programme.htm
Twin Mirror,,13,[87],Journaliste jeuxvideo.com,2020,01 décembre 2020 à 18:00:02,9.7,3,https://jeuxvideo.com/test/1332172/twin-mirror-une-escapade-convenue-dans-le-thriller-psychologique.htm
Black Mesa,,13,SylvainJVTV,Staff Web TV jeuxvideo.com,2020,01 décembre 2020 à 10:55:00,18.3,294,https://jeuxvideo.com/test/1190983/black-mesa-un-remake-d-half-life-sans-merite.htm
Immortals Fenyx Rising,,15,Aubin_Gregoire,Journaliste jeuxvideo.com,2020,30 novembre 2020 à 18:00:02,16.6,18,https://jeuxvideo.com/test/1331925/immortals-fenyx-rising-la-bonne-surprise-de-cette-fin-d-annee.htm
Empire of Sin,,13,[87],Journaliste jeuxvideo.com,2020,30 novembre 2020 à 16:00:02,12.1,7,https://jeuxvideo.com/test/1330155/empire-of-sin-de-bonnes-idees-a-l-execution-bancale.htm
Remothered,,8,KillerQuent,Utilisateur jeuxvideo.com,2020,29 novembre 2020 à 21:00:01,9,1,https://jeuxvideo.com/test/1308444/remothered-broken-porcelain-une-suite-a-oublier.htm
Parkitect,PC,17,Shiba_the_Inu,Utilisateur jeuxvideo.com,2020,29 novembre 2020 à 20:00:02,18.8,5,https://jeuxvideo.com/test/1301869/parkitect-une-alternative-credible-a-la-gestion-de-parc-d-attraction.htm
Horace,,14,KillerQuent,Utilisateur jeuxvideo.com,2020,28 novembre 2020 à 21:00:02,19.3,3,https://jeuxvideo.com/test/1292788/horace-le-platformer-aux-mille-references.htm
Puzzle Bobble Mini,NGPocket,15,Retrosaurus,Utilisateur jeuxvideo.com,2020,28 novembre 2020 à 20:00:01,,,https://jeuxvideo.com/test/1289258/puzzle-bobble-mini.htm
Game & Watch,,15,Retrosaurus,Utilisateur jeuxvideo.com,2020,27 novembre 2020 à 21:00:01,20,1,https://jeuxvideo.com/test/1263729/manhole-un-game-watch-a-travers-les-ages.htm
Football Manager 2021,PC,16,Izokay,Rédaction jeuxvideo.com,2020,26 novembre 2020 à 09:20:54,10.5,19,https://jeuxvideo.com/test/1327796/football-manager-2021-sans-revolution-mais-toujours-solide.htm
Star Wars,PC,13,Jiikaa,Journaliste jeuxvideo.com,2020,24 novembre 2020 à 15:34:52,,,https://jeuxvideo.com/test/1328526/star-wars-tales-from-the-galaxy-s-edge-un-fps-moyen-au-service-d-une-bonne-ambiance.htm
Among Us,,14,Tiraxa,Rédaction jeuxvideo.com,2020,23 novembre 2020 à 08:45:02,14.4,23,https://jeuxvideo.com/test/1327943/among-us-que-vaut-vraiment-le-party-game-du-confinement.htm
Mortal Kombat 11,,18,Silent_Jay,Journaliste jeuxvideo.com,2020,22 novembre 2020 à 17:31:00,11.8,29,https://jeuxvideo.com/test/1031677/mortal-kombat-11-une-saga-au-sommet-de-son-art.htm
Bugsnax,,14,JeromeJoffard,Rédaction jeuxvideo.com,2020,22 novembre 2020 à 15:20:00,,,https://jeuxvideo.com/test/1317385/bugsnax-une-aventure-singuliere-qui-plaira-aux-plus-petits.htm
Ghostrunner,Switch,15,Indee,Journaliste jeuxvideo.com,2020,21 novembre 2020 à 19:55:14,10,3,https://jeuxvideo.com/test/1327443/ghostrunner-une-version-switch-en-deca-pour-un-jeu-toujours-aussi-bon.htm
Planet Coaster,,16,la_redaction,Journaliste jeuxvideo.com,2020,21 novembre 2020 à 19:04:07,15.3,6,https://jeuxvideo.com/test/1327645/planet-coaster-un-portage-solide-sur-ps5-xbox-series-ps4-et-one.htm
Sackboy,PS5,15,Carnbee,Journaliste jeuxvideo.com,2020,19 novembre 2020 à 18:10:00,14.5,6,https://jeuxvideo.com/test/1321129/sackboy-a-big-adventure-le-platformer-3d-qui-file-un-bon-coton.htm
Call of Duty,,13,Jiikaa,Journaliste jeuxvideo.com,2020,19 novembre 2020 à 12:12:00,8.6,122,https://jeuxvideo.com/test/1323558/call-of-duty-black-ops-cold-war-un-solo-qui-se-savoure-comme-un-film-d-action-des-annees-80.htm
Hyrule Warriors,Switch,14,Aubin_Gregoire,Journaliste jeuxvideo.com,2020,18 novembre 2020 à 15:04:37,15,63,https://jeuxvideo.com/test/1323446/hyrule-warriors-l-ere-du-fleau-la-switch-tient-elle-son-hit-de-fin-d-annee.htm
Tetris Effect,Xbox Series,17,Carnbee,Journaliste jeuxvideo.com,2020,17 novembre 2020 à 18:25:43,15.6,5,https://jeuxvideo.com/test/1324797/tetris-effect-connected-le-syndrome-tetris-se-partage-a-plusieurs-en-battant-la-mesure.htm
Godfall,,13,Silent_Jay,Journaliste jeuxvideo.com,2020,17 novembre 2020 à 17:58:34,12.1,13,https://jeuxvideo.com/test/1323359/godfall-un-action-rpg-intense-attrayant-mais-repetitif.htm
Demon's Souls Remake,PS5,18,Indee,Journaliste jeuxvideo.com,2020,16 novembre 2020 à 18:30:02,16.5,81,https://jeuxvideo.com/test/1323730/demon-s-souls-remake-une-refonte-somptueuse-aux-allures-de-vrai-jeu-next-gen.htm
Stela,PC,15,v82ihsakak,Rédaction jeuxvideo.com,2020,15 novembre 2020 à 17:10:31,,,https://jeuxvideo.com/test/1303715/stela-au-sommet-des-cinematic-platformers.htm
Pumpkin Jack,PC,15,MegaRaibolt,Rédaction jeuxvideo.com,2020,15 novembre 2020 à 10:09:54,18.4,7,https://jeuxvideo.com/test/1313817/pumpkin-jack-un-bel-hommage-aux-plateformer-3d.htm
XIII,,06,[87],Journaliste jeuxvideo.com,2020,14 novembre 2020 à 13:34:18,4.6,21,https://jeuxvideo.com/test/1322219/xiii-remake-le-remake-qui-vous-fera-preferer-l-original.htm
NBA 2K21,,15,Izokay,Rédaction jeuxvideo.com,2020,13 novembre 2020 à 08:54:00,10,4,https://jeuxvideo.com/test/1318766/nba-2k21-timide-renouveau-sur-next-gen.htm
Les Tuniques Bleues - Nord vs Sud (Remaster),,11,Ayden_,Journaliste jeuxvideo.com,2020,12 novembre 2020 à 20:00:02,13,1,https://jeuxvideo.com/test/1319367/les-tuniques-bleues-nord-sud-sonnez-la-charge.htm
Kingdom Hearts,,15,C1R14,Rédaction jeuxvideo.com,2020,12 novembre 2020 à 17:24:36,15.3,3,https://jeuxvideo.com/test/1320478/kingdom-hearts-melody-of-memory-une-balade-nostalgique-dense.htm
Assassin's Creed Valhalla,PC,15,Jiikaa,Journaliste jeuxvideo.com,2020,11 novembre 2020 à 12:25:16,10.8,140,https://jeuxvideo.com/test/1319713/assassin-s-creed-valhalla-une-version-pc-problematique.htm
Devil May Cry 5,PS5,18,Jiikaa,Journaliste jeuxvideo.com,2020,10 novembre 2020 à 11:27:49,12,3,https://jeuxvideo.com/test/1318401/devil-may-cry-special-edition-vergil-debarque-sur-ps5-et-s-habille-en-ray-tracing.htm
Assassin's Creed Valhalla,,17,Kaaraj,Journaliste jeuxvideo.com,2020,09 novembre 2020 à 18:41:24,12.4,190,https://jeuxvideo.com/test/1318769/assassin-s-creed-valhalla-fort-comme-un-viking-fin-comme-un-assassin.htm
Assassin's Creed Valhalla,,18,Kaaraj,Journaliste jeuxvideo.com,2020,09 novembre 2020 à 18:41:19,13,121,https://jeuxvideo.com/test/1319101/assassin-s-creed-valhalla-les-vikings-debarquent-avec-succes-sur-next-gen.htm
FUSER,,16,Indee,Journaliste jeuxvideo.com,2020,08 novembre 2020 à 11:20:54,13.5,2,https://jeuxvideo.com/test/1315839/fuser-harmonix-livre-un-tres-bon-jeu-de-mix-musical-dense-et-profond.htm
Visage,,16,[87],Journaliste jeuxvideo.com,2020,07 novembre 2020 à 16:02:10,16.6,8,https://jeuxvideo.com/test/1316659/visage-le-jeu-d-horreur-que-les-orphelins-de-p-t-attendaient.htm
The Falconeer,,13,Carnbee,Journaliste jeuxvideo.com,2020,06 novembre 2020 à 16:00:02,,,https://jeuxvideo.com/test/1316249/the-falconeer-un-joli-shoot-aerien-qui-n-esquive-pas-les-erreurs-de-jeunesse.htm
Astro's Playroom,PS5,16,Aubin_Gregoire,Journaliste jeuxvideo.com,2020,06 novembre 2020 à 14:00:03,18.4,38,https://jeuxvideo.com/test/1315206/astro-s-playroom-un-voyage-a-travers-l-histoire-de-sony-dualsense-a-la-main.htm
Marvel's Spider-Man,,16,Logan,Journaliste jeuxvideo.com,2020,06 novembre 2020 à 14:00:00,14,28,https://jeuxvideo.com/test/1316344/marvel-s-spider-man-miles-morales-la-releve-est-elle-assuree-sur-ps5.htm
Need for Speed,,15,MalloDelic,Journaliste jeuxvideo.com,2020,05 novembre 2020 à 15:31:37,9.3,21,https://jeuxvideo.com/test/1314518/need-for-speed-hot-pursuit-remastered-un-titre-qui-reste-solide-10-ans-apres.htm
DiRT 5,,15,Izokay,Rédaction jeuxvideo.com,2020,05 novembre 2020 à 09:24:16,4.7,3,https://jeuxvideo.com/test/1314255/dirt-5-le-virage-arcade-qui-passe-ou-qui-casse.htm
Yakuza,,16,Silent_Jay,Journaliste jeuxvideo.com,2020,04 novembre 2020 à 14:00:00,16.1,23,https://jeuxvideo.com/test/1314643/yakuza-like-a-dragon-un-rpg-genereux-et-respectueux-de-la-saga.htm
Scourgebringer,,13,Charlanmhg,Rédaction jeuxvideo.com,2020,03 novembre 2020 à 18:42:44,16.7,3,https://jeuxvideo.com/test/1310138/scourgebringer-un-roguelite-interessant-qui-vous-veut-du-mal.htm
Jurassic World,Switch,14,[87],Journaliste jeuxvideo.com,2020,03 novembre 2020 à 17:03:12,17.3,3,https://jeuxvideo.com/test/1314566/jurassic-world-evolution-complete-edition-un-assez-bon-portage-sur-switch.htm
Control Ultimate Edition - Cloud Version,Switch,12,oliveroidubocal,Rédaction jeuxvideo.com,2020,02 novembre 2020 à 11:11:42,14.9,11,https://jeuxvideo.com/test/1313624/control-ultimate-edition-cloud-avantages-et-defauts-du-cloud-gaming-sur-switch.htm
Pacer,,15,JeromeJoffard,Rédaction jeuxvideo.com,2020,31 octobre 2020 à 14:15:50,17.5,4,https://jeuxvideo.com/test/1313196/pacer-est-il-le-digne-successeur-de-wipeout.htm
The Dark Pictures,PS4,11,Silent_Jay,Journaliste jeuxvideo.com,2020,29 octobre 2020 à 16:00:02,12.6,17,https://jeuxvideo.com/test/1307775/the-dark-pictures-little-hope-une-bourgade-inquisitrice-trop-peu-accueillante.htm
Pikmin 3 Deluxe,Switch,15,Ayden_,Journaliste jeuxvideo.com,2020,28 octobre 2020 à 16:32:46,15.8,8,https://jeuxvideo.com/test/1309993/pikmin-3-deluxe-une-edition-rafraichissante.htm
Watch Dogs Legion,,16,Kaaraj,Journaliste jeuxvideo.com,2020,28 octobre 2020 à 12:01:00,10.5,176,https://jeuxvideo.com/test/1310276/watch-dogs-legion-un-gameplay-au-top-malgre-un-scenario-previsible.htm
Oddworld,Switch,17,JeromeJoffard,Rédaction jeuxvideo.com,2020,27 octobre 2020 à 13:01:03,10,1,https://jeuxvideo.com/test/1305606/oddworld-new-n-tasty-un-portage-nintendo-switch-qui-fait-honneur-aux-versions-pc-ps4-et-xbox-one.htm
Pokémon Épée / Bouclier,Switch,13,MalloDelic,Journaliste jeuxvideo.com,2020,26 octobre 2020 à 17:07:48,10.2,44,https://jeuxvideo.com/test/1308330/pokemon-epee-bouclier-les-terres-enneigees-de-la-couronne-interessant-mais-imparfait.htm
Ghostrunner,,17,Indee,Journaliste jeuxvideo.com,2020,26 octobre 2020 à 15:00:02,16.2,12,https://jeuxvideo.com/test/1307393/ghostrunner-un-excellent-mix-entre-hotline-miami-et-un-mirror-s-edge-cyberpunk.htm
Astérix & Obélix XXL Romastered,,09,[87],Journaliste jeuxvideo.com,2020,23 octobre 2020 à 10:40:25,13.7,9,https://jeuxvideo.com/test/1307505/asterix-obelix-xxl-romastered-un-remaster-timide-d-un-jeu-vieillissant.htm
DOOM Eternal,,15,Aubin_Gregoire,Journaliste jeuxvideo.com,2020,22 octobre 2020 à 17:16:12,13,6,https://jeuxvideo.com/test/1307375/doom-eternal-the-ancient-gods-part-one-un-dlc-ardu-et-intense.htm
Second Extinction,PC,14,Carnbee,Journaliste jeuxvideo.com,2020,21 octobre 2020 à 19:08:08,14.5,6,https://jeuxvideo.com/test/1306820/second-extinction-le-left-4-dead-avec-des-dinos-mutants-griffe-fort.htm
The Signifier,,12,[87],Journaliste jeuxvideo.com,2020,20 octobre 2020 à 18:38:41,,,https://jeuxvideo.com/test/1306384/the-signifier-une-enquete-psychologique-interessante-qui-peche-par-son-execution.htm
Amnesia,,17,Jiikaa,Journaliste jeuxvideo.com,2020,19 octobre 2020 à 15:00:02,12.7,17,https://jeuxvideo.com/test/1305831/amnesia-rebirth-une-aventure-horrifique-dont-on-ne-sort-pas-indemne.htm
Tennis World Tour 2,Switch,13,Kaaraj,Journaliste jeuxvideo.com,2020,19 octobre 2020 à 12:50:44,5,1,https://jeuxvideo.com/test/1305842/tennis-world-tour-2-une-version-switch-complete-mais-techniquement-limitee.htm
CloudPunk,Switch,11,Jiikaa,Journaliste jeuxvideo.com,2020,17 octobre 2020 à 15:00:01,,,https://jeuxvideo.com/test/1305319/cloudpunk-un-atterrissage-sur-switch-qui-ne-se-fait-pas-sans-turbulences.htm
Phasmophobia,PC,16,[87],Journaliste jeuxvideo.com,2020,16 octobre 2020 à 16:07:59,17,14,https://jeuxvideo.com/test/1303690/phasmophobia-une-chasse-aux-fantomes-en-coop-aussi-originale-que-flippante.htm
Mario Kart Live,Switch,16,Indee,Journaliste jeuxvideo.com,2020,16 octobre 2020 à 09:00:02,13.8,28,https://jeuxvideo.com/test/1302858/mario-kart-live-un-mariage-avec-la-realite-augmentee-terriblement-accrocheur.htm
Age of Empires III,PC,15,Lespol,Rédaction jeuxvideo.com,2020,14 octobre 2020 à 09:01:00,14.3,12,https://jeuxvideo.com/test/1302349/age-of-empires-iii-definitive-edition-l-age-de-raison.htm
Baldur's Gate III,,14,[87],Journaliste jeuxvideo.com,2020,11 octobre 2020 à 09:23:23,13.4,76,https://jeuxvideo.com/test/1301662/baldur-s-gate-iii-que-vaut-l-acces-anticipe-de-l-acte-i.htm
Genshin Impact,,15,Aubin_Gregoire,Journaliste jeuxvideo.com,2020,08 octobre 2020 à 18:33:18,13.5,85,https://jeuxvideo.com/test/1300571/genshin-impact-le-rpg-free-to-play-a-l-ambition-demesuree.htm
FIFA 21,,13,Kaaraj,Journaliste jeuxvideo.com,2020,06 octobre 2020 à 09:01:00,3.5,83,https://jeuxvideo.com/test/1298866/fifa-21-une-simulation-en-transition.htm
Ride 4,,15,Izokay,Rédaction jeuxvideo.com,2020,06 octobre 2020 à 08:46:55,11.6,8,https://jeuxvideo.com/test/1297956/ride-4-petit-manque-de-peche-pour-la-nouvelle-cylindree.htm
Les Sims 4,Batuu,14,scie-le-vin,Administrateur jeuxvideo.com,2020,05 octobre 2020 à 07:00:01,2,2,https://jeuxvideo.com/test/1283063/les-sims-4-voyage-sur-batuu-l-extension-qu-on-attendait-pas.htm
Star Renegades,PC,16,Charlanmhg,Rédaction jeuxvideo.com,2020,04 octobre 2020 à 10:00:02,18,2,https://jeuxvideo.com/test/1284813/star-renegades-un-roguelite-tactique-maitrise.htm
Super Mario Bros. 35,Switch,13,Aubin_Gregoire,Journaliste jeuxvideo.com,2020,02 octobre 2020 à 16:29:27,14.3,22,https://jeuxvideo.com/test/1297380/super-mario-bros-35-qui-sera-le-dernier-moustachu-debout.htm
Crash Bandicoot 4,,16,Carnbee,Journaliste jeuxvideo.com,2020,01 octobre 2020 à 15:08:15,14.6,65,https://jeuxvideo.com/test/1296626/crash-bandicoot-4-it-s-about-time-le-platformer-au-bon-parfum-d-antan.htm
Star Wars,,16,Silent_Jay,Journaliste jeuxvideo.com,2020,01 octobre 2020 à 14:00:02,14.4,71,https://jeuxvideo.com/test/1295390/star-wars-squadrons-un-shooter-spatial-a-la-hauteur-du-mythe.htm
RollerCoaster Tycoon 3,Switch,14,[87],Journaliste jeuxvideo.com,2020,29 septembre 2020 à 18:07:15,,,https://jeuxvideo.com/test/1295872/rollercoaster-tycoon-3-complete-edition-un-portage-switch-a-la-hauteur.htm
Ori and the Will of the Wisps,Switch,18,Jiikaa,Journaliste jeuxvideo.com,2020,29 septembre 2020 à 17:38:45,16.3,9,https://jeuxvideo.com/test/1296230/ori-and-the-will-of-the-wisps-un-portage-switch-qui-tient-du-miracle.htm
Mafia,,16,[87],Journaliste jeuxvideo.com,2020,24 septembre 2020 à 17:01:01,15.1,59,https://jeuxvideo.com/test/1291871/mafia-definitive-edition-un-remake-reussi-du-classique-de-2002.htm
Serious Sam 4,PC,10,Silent_Jay,Journaliste jeuxvideo.com,2020,24 septembre 2020 à 11:00:02,14.8,27,https://jeuxvideo.com/test/1291708/serious-sam-4-un-fps-defouloir-fantasque-et-depasse.htm
Tennis World Tour 2,,13,Kaaraj,Journaliste jeuxvideo.com,2020,24 septembre 2020 à 09:48:37,11.2,13,https://jeuxvideo.com/test/1292761/tennis-world-tour-2-une-progression-remarquee-mais-il-reste-loin-des-meilleurs.htm
Hades,,18,Aubin_Gregoire,Journaliste jeuxvideo.com,2020,23 septembre 2020 à 19:38:04,17.5,24,https://jeuxvideo.com/test/1292489/hades-tout-droit-au-pantheon-du-rogue-lite.htm
Crysis Remastered,,11,Aubin_Gregoire,Journaliste jeuxvideo.com,2020,19 septembre 2020 à 17:27:46,7.2,9,https://jeuxvideo.com/test/1291255/crysis-remastered-une-version-console-dispensable.htm
Crysis Remastered,PC,14,Aubin_Gregoire,Journaliste jeuxvideo.com,2020,19 septembre 2020 à 17:27:41,12.6,5,https://jeuxvideo.com/test/1291254/crysis-remastered-un-joli-lifting-mal-optimise-sur-pc.htm
Ghost Recon Breakpoint Episode 3: Red Patriot,,13,Silent_Jay,Journaliste jeuxvideo.com,2020,19 septembre 2020 à 14:00:01,13.2,5,https://jeuxvideo.com/test/1288557/ghost-recon-breakpoint-red-patriot-une-insistante-impression-de-deja-vu.htm
Le Donjon de Naheulbeuk,PC,12,K-miye,Journaliste jeuxvideo.com,2020,16 septembre 2020 à 18:01:00,16.6,94,https://jeuxvideo.com/test/1289691/le-donjon-de-naheulbeuk-l-amulette-du-desordre-un-cadeau-pour-les-fans.htm
Super Mario 3D All-Stars,Switch,15,Indee,Journaliste jeuxvideo.com,2020,16 septembre 2020 à 15:00:02,10.9,109,https://jeuxvideo.com/test/1287808/super-mario-3d-all-stars-remaster-assez-decevant-pour-trois-jeux-cultes.htm
eFootball PES 2021,,15,Izokay,Rédaction jeuxvideo.com,2020,16 septembre 2020 à 09:08:33,10.3,46,https://jeuxvideo.com/test/1289273/efootbal-pes-2021-une-mise-a-jour-sans-grosses-surprises.htm
13 Sentinels,PS4,16,Ryuzaki57,Contributeur jeuxvideo.com,2020,15 septembre 2020 à 18:18:56,17,5,https://jeuxvideo.com/test/1287390/13-sentinels-aegis-rim-une-version-francaise-convaincante-pour-le-t-rpg-sf.htm
Les Royaumes d'Amalur,PC,12,scie-le-vin,Administrateur jeuxvideo.com,2020,13 septembre 2020 à 15:22:06,10.3,19,https://jeuxvideo.com/test/1287380/les-royaumes-d-amalur-re-reckoning-une-version-pc-dispensable-et-inutilement-gourmande.htm
Panzer Paladin,,14,TheXsable,Rédaction jeuxvideo.com,2020,13 septembre 2020 à 10:57:00,17,1,https://jeuxvideo.com/test/1280707/panzer-paladin-le-platformer-neo-retro-ultime.htm
Borderlands 3,,15,Jiikaa,Journaliste jeuxvideo.com,2020,12 septembre 2020 à 10:30:02,9.3,6,https://jeuxvideo.com/test/1285381/borderlands-3-krieg-le-sadique-une-quatrieme-campagne-en-forme-de-therapie.htm
Vader Immortal,PS4,15,Indee,Journaliste jeuxvideo.com,2020,10 septembre 2020 à 10:00:01,13.5,4,https://jeuxvideo.com/test/1284219/vader-immortal-une-experience-vr-solide-dans-le-monde-de-star-wars.htm
The Outer Worlds,,13,[87],Journaliste jeuxvideo.com,2020,09 septembre 2020 à 18:20:46,,,https://jeuxvideo.com/test/1283734/the-outer-worlds-peril-on-gorgon-un-premier-dlc-solide-qui-manque-d-audace.htm
Les Royaumes d'Amalur,,14,scie-le-vin,Administrateur jeuxvideo.com,2020,08 septembre 2020 à 13:55:40,11.6,13,https://jeuxvideo.com/test/1283061/les-royaumes-d-amalur-re-reckoning-un-remaster-paresseux-sur-ps4-et-xbox-one.htm
Spellbreak,,14,Aubin_Gregoire,Journaliste jeuxvideo.com,2020,07 septembre 2020 à 19:23:59,13.1,28,https://jeuxvideo.com/test/1283311/spellbreak-avatar-le-dernier-maitre-du-br.htm
Crusader Kings 3,PC,17,Ayden_,Journaliste jeuxvideo.com,2020,06 septembre 2020 à 20:11:13,16.7,32,https://jeuxvideo.com/test/1283011/crusader-kings-iii-la-nouvelle-reference-du-wargame-rpg.htm
NBA 2K21,,13,Izokay,Rédaction jeuxvideo.com,2020,06 septembre 2020 à 10:08:43,4.5,59,https://jeuxvideo.com/test/1282747/nba-2k21-un-episode-paresseux-avant-la-next-gen.htm
Marvel's Avengers,,13,Logan,Journaliste jeuxvideo.com,2020,03 septembre 2020 à 18:00:02,12.9,80,https://jeuxvideo.com/test/1281334/marvel-s-avengers-le-jeu-service-qui-thor-le-cou-aux-conventions.htm
Tony Hawk's Pro Skater 1+2,,15,Indee,Journaliste jeuxvideo.com,2020,03 septembre 2020 à 15:00:02,16.1,13,https://jeuxvideo.com/test/1281305/tony-hawk-s-pro-skater-1-2-le-skate-arcade-et-culte-toujours-aussi-efficace.htm
Madden NFL 21,,14,Izokay,Rédaction jeuxvideo.com,2020,03 septembre 2020 à 10:00:02,1.6,18,https://jeuxvideo.com/test/1280789/madden-nfl-21-un-opus-en-manque-de-rythme.htm
The Last Campfire,,16,K-miye,Journaliste jeuxvideo.com,2020,02 septembre 2020 à 18:04:44,16,2,https://jeuxvideo.com/test/1280856/the-last-campfire-un-voyage-charge-en-emotion.htm
Surgeon Simulator 2,PC,16,Indee,Journaliste jeuxvideo.com,2020,31 août 2020 à 18:01:12,0,1,https://jeuxvideo.com/test/1280304/surgeon-simulator-2-la-chirurgie-totalement-dejantee-a-son-meilleur.htm
WRC 9,,16,Izokay,Rédaction jeuxvideo.com,2020,31 août 2020 à 17:07:03,12.1,7,https://jeuxvideo.com/test/1279951/wrc-9-la-paisible-ligne-droite-de-kylotonn.htm
Tom Clancy's Elite Squad,,8,-LecHad-,Rédaction jeuxvideo.com,2020,31 août 2020 à 10:11:29,11.5,2,https://jeuxvideo.com/test/1279905/tom-clancy-s-elite-squad-la-goutte-d-ubisoft-dans-l-ocean-des-free-to-play.htm
